Load History,Distance to Task,Total Distance Traveled
2.0,30.969,29.763
4.0,16.944,33.167
2.0,31.337,24.033
4.0,16.914,35.721000000000004
3.0,3.224,60.732
4.0,13.473,33.167
3.0,3.283,55.370000000000005
4.0,13.444,35.721000000000004
4.0,9.754,63.956
4.0,7.732,33.167
4.0,9.975,58.653000000000006
4.0,7.968,35.721000000000004
4.0,15.372,63.956
5.0,7.173,40.899
4.0,15.592,58.653000000000006
5.0,7.018,43.68900000000001
0.0,4.473,0.0
0.0,6.041,0.0
0.0,8.106,0.0
0.0,16.898,0.0
1.0,15.258,4.473
0.0,10.489,0.0
1.0,15.424,8.106
0.0,8.1,0.0
1.0,9.434,4.473
1.0,8.78,10.489
1.0,9.6,8.106
1.0,9.033,8.1
2.0,18.854,13.907
1.0,14.963,10.489
1.0,18.388,8.106
2.0,19.466,17.133
2.0,13.088,13.907
2.0,11.188,25.451999999999998
2.0,11.088,26.494
2.0,13.478,17.133
3.0,22.873,26.994999999999997
2.0,24.462,25.451999999999998
2.0,24.362,26.494
3.0,22.719,30.610999999999997
3.0,14.452,26.994999999999997
3.0,9.351,49.914
3.0,9.488,50.855999999999995
3.0,14.299,30.610999999999997
3.0,6.809,26.994999999999997
4.0,21.686,59.265
4.0,21.536,60.343999999999994
3.0,6.963,30.610999999999997
4.0,15.37,33.803999999999995
4.0,7.743,59.265
4.0,7.681,60.343999999999994
4.0,14.849,37.574
4.0,12.168,33.803999999999995
5.0,3.357,67.008
5.0,3.211,68.02499999999999
4.0,11.647,37.574
0.0,6.917,0.0
0.0,8.956,0.0
0.0,10.489,0.0
0.0,8.526,0.0
1.0,19.356,6.917
0.0,17.194,0.0
0.0,10.773,0.0
1.0,19.471,8.526
1.0,8.939,6.917
1.0,28.167,17.194
1.0,27.675,10.773
1.0,9.155,8.526
2.0,23.341,15.856
1.0,18.394,17.194
1.0,17.903,10.773
2.0,23.203,17.680999999999997
2.0,15.623,15.856
2.0,11.201,35.587999999999994
2.0,10.631,28.676
2.0,15.485,17.680999999999997
3.0,10.909,31.479
2.0,19.623,35.587999999999994
3.0,10.806,39.307
2.0,9.489,17.680999999999997
4.0,8.502,42.388
2.0,16.199,35.587999999999994
3.0,10.614,39.307
3.0,7.874,27.169999999999998
5.0,11.052,50.89
2.0,16.823,35.587999999999994
3.0,8.006,39.307
4.0,11.011,35.044
5.0,21.16,50.89
3.0,12.513,52.410999999999994
4.0,12.17,47.313
4.0,21.118,35.044
5.0,12.108,50.89
4.0,8.847,64.92399999999999
5.0,8.823,59.483000000000004
4.0,12.066,35.044
0.0,7.588,0.0
0.0,5.836,0.0
0.0,23.754,0.0
0.0,12.6,0.0
0.0,10.004,0.0
1.0,17.094,5.836
0.0,25.775,0.0
1.0,16.644,12.6
1.0,11.824,10.004
1.0,7.748,5.836
0.0,17.388,0.0
2.0,12.06,29.244
1.0,26.87,10.004
2.0,16.389,13.584
1.0,16.931,17.388
2.0,27.106,29.244
1.0,10.761,10.004
3.0,18.653,29.973
2.0,18.103,34.319
2.0,10.961,29.244
2.0,4.456,20.765
3.0,20.481,29.973
2.0,19.931,34.319
3.0,4.894,40.205
3.0,8.382,25.221
3.0,17.81,29.973
2.0,17.26,34.319
4.0,7.796,45.099
4.0,16.792,33.603
3.0,10.518,29.973
2.0,11.068,34.319
5.0,16.788,52.894999999999996
4.0,10.713,33.603
